distance_angstrom,vqe_energy_ha,exact_energy_ha,delta_ha
1.400000000000000799e+00,-1.015468135404814731e+00,-1.015468249288243641e+00,1.138834289093892949e-07
1.420000000000000817e+00,-1.011800500728153640e+00,-1.011800536595871325e+00,3.586771768482321932e-08
1.440000000000000835e+00,-1.008232354561783950e+00,-1.008232668594869264e+00,3.140330853135253619e-07
1.460000000000000853e+00,-1.004766867814343101e+00,-1.004767002678701893e+00,1.348643587917308651e-07
1.480000000000000870e+00,-1.001405243793175526e+00,-1.001405421408331442e+00,1.776151559162997273e-07
1.500000000000000888e+00,-9.981487595404903157e-01,-9.981493534714096505e-01,5.939309193347952487e-07
1.520000000000000906e+00,-9.949997853839820383e-01,-9.949997953655105309e-01,9.981528492630786786e-09
1.540000000000000924e+00,-9.919572292515158596e-01,-9.919573337202126639e-01,1.044686968043606612e-07
1.560000000000000941e+00,-9.890220540694385498e-01,-9.890221681641084839e-01,1.140946699340616988e-07
1.580000000000000959e+00,-9.861941308953171559e-01,-9.861941346356096760e-01,3.740292520149068878e-09
1.600000000000000977e+00,-9.834727250682653299e-01,-9.834727290331761740e-01,3.964910844089786224e-09
1.620000000000000995e+00,-9.808566582256501576e-01,-9.808571310959641742e-01,4.728703140166601315e-07
1.640000000000001013e+00,-9.783462236907252141e-01,-9.783462284040653767e-01,4.713340162609824802e-09
1.660000000000001030e+00,-9.759386046629854317e-01,-9.759386403844558799e-01,3.572147044828000162e-08
1.680000000000001048e+00,-9.736326976366389552e-01,-9.736327422075994331e-01,4.457096047794095739e-08
1.700000000000001066e+00,-9.714265537824627872e-01,-9.714266884583445671e-01,1.346758817799553754e-07
1.720000000000001084e+00,-9.693184121605389336e-01,-9.693184364651974416e-01,2.430465850800089811e-08
1.740000000000001101e+00,-9.673054404164451725e-01,-9.673057691733082386e-01,3.287568630661041880e-07
1.760000000000001119e+00,-9.653863025686040267e-01,-9.653863174497028243e-01,1.488109879765886490e-08
1.780000000000001137e+00,-9.635573221982522973e-01,-9.635575817137675969e-01,2.595155152995687331e-07
1.800000000000001155e+00,-9.618169508850585858e-01,-9.618169527925798379e-01,1.907521252064725559e-09
1.820000000000001172e+00,-9.601617193273552786e-01,-9.601617319085136160e-01,1.258115833735473643e-08
1.840000000000001190e+00,-9.585891450502608269e-01,-9.585891497162968289e-01,4.666036002021201057e-09
1.860000000000001208e+00,-9.570962480352339652e-01,-9.570963843173460051e-01,1.362821120398649555e-07
1.880000000000001226e+00,-9.556805722967622874e-01,-9.556805781915440612e-01,5.894781773818635884e-09
1.900000000000001243e+00,-9.543388504561873820e-01,-9.543388539987305297e-01,3.542543147716514795e-09
1.920000000000001261e+00,-9.530682923384921068e-01,-9.530683292155415209e-01,3.687704941413016968e-08
1.940000000000001279e+00,-9.518661216010907422e-01,-9.518661295867366645e-01,7.985645922303774569e-09
1.960000000000001297e+00,-9.507288890581351293e-01,-9.507294013821063761e-01,5.123239712467864138e-07
1.980000000000001315e+00,-9.496551329185288770e-01,-9.496553224633020873e-01,1.895447732103150429e-07
2.000000000000001332e+00,-9.486410282121375825e-01,-9.486411121761904042e-01,8.396405282162788808e-08
